x_1,y_1,x_2,y_2
609,1881,920,1566
916,1877,1051,1607
1051,1885,1116,1623
1120,1881,1169,1636
1206,1877,1210,1648
1317,1885,1276,1673
1513,1865,1378,1697
1713,1861,1513,1730
1930,1869,1619,1758
2012,1869,1689,1783
2086,1861,1742,1787
2388,1861,1951,1844
2450,1869,2012,1861
2867,1877,2331,1963
2986,1873,2442,1992
3137,1869,2585,2032
1415,1644,1513,1513
1628,1652,1632,1554
1726,1668,1664,1566
1869,1677,1783,1607
2045,1681,1959,1648
2217,1660,2069,1648
2286,1656,2086,1652
2401,1652,2159,1673
1664,1411,1673,1366
1628,1497,1648,1456
1611,1570,1640,1493
1628,1632,1644,1538
1677,1362,1681,1329
1795,1353,1767,1325
1918,1304,1877,1300
2016,1276,1955,1300
2147,1308,2049,1341
2196,1353,2110,1382
2188,1366,2065,1398
2147,1411,2028,1431
2073,1407,1938,1407
1938,1407,1824,1403
1795,1403,1705,1378
1705,1415,1673,1374