point_id,x_1,y_1,x_2,y_2,point_3d_id,x,y,z
1,1757,2702,908,1961,1_17,0.8,0.3,11
2,1745,2265,851,1605,1_6,6,0.6,11
3,1726,2058,814,1427,1_1,8.5,0.3,11
4,1877,2425,946,1830,1_11,3.4,2,11
5,2055,2471,1084,2030,1_18,1.3,4.4,11
7,2496,1715,1401,1693,1_3,8,10.75,11
8,2734,1551,1712,1764,1_4,8.5,15,11
9,2979,1487,2164,2026,1_5,7.5,20.4,11
10,2266,1985,1190,1762,1_7,6,7,11
11,2232,2251,1199,1998,1_13,2.2,6.9,11
12,2138,2281,1120,1930,1_12,3.2,5.5,11
13,2468,2200,1457,2243,1_19,1,11.25,11
14,2720,1742,1710,1996,1_8,6,15.25,11
15,2668,1958,1685,2230,1_14,3,14.8,11
16,2815,1676,1855,2034,1_9,6.25,17.25,11
17,2798,1934,1917,2422,1_21,2,17.75,11
18,2875,1798,2032,2358,1_15,3.5,19.2,11
19,3056,1395,2432,2015,1_23,8.5,22.5,11
20,2992,1632,2272,2307,1_10,5.25,21.7,11
21,2958,1794,2247,2533,1_16,2.8,21.5,11
22,2947,1911,2294,2731,1_22,0.6,22,11
23,1708,1992,839,1390,2_19,9,0.25,10.75
24,1721,1828,1041,1362,2_12,9,2,9
25,1929,1882,954,1434,2_20,9,3,10.75
26,2027,1726,1193,1441,2_13,9,5.5,9.5
27,2059,1596,1395,1417,2_14,9,7.5,7.75
28,2343,1607,1420,1530,2_15,9,9.75,9.75
29,2690,1451,1872,1679,2_16,9,16,9.75
30,2811,1402,2106,1771,2_17,9,18.75,9.75
31,2922,1353,2338,1858,2_18,9,21.25,9.75
32,2436,1162,2796,1515,2_7,9,21.75,0.5